State Codes,State Names,State Census Area,State,State Sightings,Duration,Changing,Chevron,Cigar,Circle,Cone,Cross,Cylinder,Diamond,Disk,Egg,Fireball,Flash,Formation,Light,Other,Oval,Rectangle,Sphere,Teardrop,Triangle,Unknown
23,Maine,30842.923,me,633.0,3066.4311216429696,9.0,3.0,18.0,75.0,,5.0,10.0,10.0,36.0,2.0,50.0,11.0,12.0,139.0,38.0,35.0,8.0,51.0,6.0,65.0,33.0
25,Massachusetts,7800.058,ma,1358.0,1312.1877761413843,30.0,16.0,31.0,127.0,6.0,2.0,24.0,25.0,89.0,14.0,97.0,20.0,33.0,255.0,103.0,86.0,24.0,100.0,13.0,139.0,104.0
26,Michigan,56538.901,mi,2071.0,3885.088652824722,45.0,11.0,47.0,170.0,10.0,4.0,28.0,32.0,149.0,17.0,188.0,28.0,64.0,427.0,130.0,96.0,39.0,132.0,19.0,239.0,137.0
30,Montana,145545.801,mt,510.0,2148.7235294117645,12.0,8.0,11.0,33.0,1.0,2.0,3.0,10.0,32.0,4.0,57.0,11.0,15.0,115.0,27.0,28.0,5.0,28.0,3.0,38.0,49.0
32,Nevada,109781.18,nv,905.0,2926.0165193370167,23.0,15.0,25.0,73.0,3.0,1.0,18.0,10.0,56.0,5.0,51.0,15.0,38.0,183.0,78.0,55.0,13.0,65.0,9.0,65.0,75.0
34,New Jersey,7354.22,nj,1512.0,5299.992341269841,27.0,16.0,37.0,151.0,8.0,4.0,23.0,21.0,140.0,11.0,126.0,27.0,39.0,274.0,120.0,83.0,28.0,99.0,13.0,136.0,104.0
36,New York,47126.399,ny,3219.0,2914.7115719167446,73.0,47.0,91.0,331.0,10.0,11.0,44.0,51.0,239.0,42.0,240.0,59.0,93.0,622.0,215.0,177.0,53.0,191.0,36.0,314.0,211.0
37,North Carolina,48617.905,nc,1869.0,1281.8316479400748,42.0,28.0,50.0,192.0,8.0,6.0,30.0,25.0,117.0,15.0,135.0,29.0,63.0,392.0,117.0,80.0,32.0,136.0,16.0,192.0,143.0
39,Ohio,40860.694,oh,2425.0,1576.1877731958766,57.0,18.0,61.0,230.0,13.0,9.0,42.0,40.0,157.0,23.0,238.0,30.0,75.0,472.0,150.0,114.0,35.0,190.0,21.0,267.0,157.0
42,Pennsylvania,44742.703,pa,2582.0,3990.1130906274207,43.0,17.0,79.0,247.0,16.0,7.0,34.0,36.0,175.0,26.0,234.0,31.0,90.0,514.0,178.0,134.0,42.0,154.0,25.0,250.0,190.0
