"child","value","parent"
"bright light",1972,"lightform"
"white light",1665,"lightform"
"orange lights",1376,"lightform"
"white lights",1278,"lightform"
"red lights",1197,"lightform"
"bright lights",940,"lightform"
"red light",909,"lightform"
"orange light",724,"lightform"
"flashing lights",553,"lightform"
"green light",413,"lightform"
"blue light",369,"lightform"
"colored lights",318,"lightform"
"blue lights",301,"lightform"
"green lights",294,"lightform"
"blinking lights",258,"lightform"
"strange lights",256,"lightform"
"flashing light",254,"lightform"
"moving light",194,"lightform"
"yellow lights",193,"lightform"
"amber lights",190,"lightform"
"strange light",179,"lightform"
"shaped light",153,"lightform"
"moving lights",140,"lightform"
"shaped lights",140,"lightform"
"blinking light",123,"lightform"
"glowing lights",116,"lightform"
"yellow light",113,"lightform"
"glowing light",100,"lightform"
"pulsating light",96,"lightform"
"circular light",93,"lightform"
"circular lights",92,"lightform"
"round light",92,"lightform"
"round lights",91,"lightform"
"colored light",86,"lightform"
"amber light",79,"lightform"
"stationary light",77,"lightform"
"dim lights",74,"lightform"
"pulsating lights",73,"lightform"
"pulsing light",68,"lightform"
"advertising lights",63,"lightform"
"stationary lights",62,"lightform"
"multiple lights",57,"lightform"
"strobe lights",52,"lightform"
"single light",51,"lightform"
"flickering light",48,"lightform"
"hovering light",46,"lightform"
"oval light",44,"lightform"
"rotating lights",43,"lightform"
"phoenix lights",42,"lightform"
"flickering lights",40,"lightform"
"hovering lights",40,"lightform"
"multicolored lights",39,"lightform"
"quot light",39,"lightform"
"pulsing lights",37,"lightform"
"triangle lights",37,"lightform"
"changing light",35,"lightform"
"dim light",35,"lightform"
"triangular lights",35,"lightform"
"solid light",34,"lightform"
"strobe light",34,"lightform"
"triangular light",34,"lightform"
"quot lights",33,"lightform"
"yellowish light",33,"lightform"
"color lights",32,"lightform"
"flying light",31,"lightform"
"reddish lights",30,"lightform"
"brilliant light",29,"lightform"
"flying lights",29,"lightform"
"spherical light",29,"lightform"
"strobing lights",28,"lightform"
"unusual lights",28,"lightform"
"dancing lights",26,"lightform"
"gold light",26,"lightform"
"shape light",26,"lightform"
"spot light",26,"lightform"
"strobing light",26,"lightform"
"changing lights",23,"lightform"
"day light",23,"lightform"
"gold lights",23,"lightform"
"horizontal lights",23,"lightform"
"silent light",23,"lightform"
"landing lights",22,"lightform"
"steady light",22,"lightform"
"type light",22,"lightform"
"fast light",21,"lightform"
"unusual light",21,"lightform"
"bluish light",20,"lightform"
"unexplained lights",20,"lightform"
"center light",19,"lightform"
"reddish light",19,"lightform"
"running lights",19,"lightform"
"star light",19,"lightform"
"floating lights",18,"lightform"
"odd lights",18,"lightform"
"city lights",17,"lightform"
"intense light",17,"lightform"
"mysterious lights",17,"lightform"
"orangish lights",17,"lightform"
"rectangular lights",17,"lightform"
"shape lights",17,"lightform"
