datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude,year,month
1/10/2014 6:00,placentia,ca,us,rectangle,60,~1 minute,EXTRATERRESTRIAL MULTICOLOR SPACECRAFT OVER GOLF COURSE,1/16/2014,33.8722,-117.8694,2014.0,1.0
1/10/2014 6:15,el paso,tx,us,circle,120,~2 minutes,Single round&#44 reddish yellowish&#44 greenish light in the sky which moved very rapidly and stood still&#44 then moved again then stood still,1/16/2014,31.7586,-106.4864,2014.0,1.0
1/10/2014 6:30,coal creek,co,us,sphere,1200,20 minutes,Large&#44 yellowish white reflective sphere with no lights&#44 no sound&#44 no exhaust trail.,1/10/2014,38.3611,-105.1478,2014.0,1.0
1/10/2014 9:57,hartford,ct,us,flash,120,2 minute,((HOAX??)) While i was watching a movie a white flash came from the sky after 1min another flash blinded me  it ended and left,2/14/2014,41.7636,-72.6856,2014.0,1.0
1/10/2014 16:30,pendle (uk/england),,,light,900,15 minutes,A light hovered down the hill at a ridiculous speed.,1/16/2014,53.845,-2.204,2014.0,1.0
1/10/2014 18:30,adams/friendship (in eastern sky),wi,,,120,few minutes,We  saw a line of lights in the sky&#44looking out our back door&#44&#44which faces east.I am guessing between 5;30&amp; 7;30pm&#44&#44&#44the evening of the,1/24/2014,43.9705,-89.8168,2014.0,1.0
1/10/2014 20:00,knoxville,tn,us,light,1,1 second,Yellow Orange Light Shot Across Sky.,1/16/2014,35.9606,-83.9208,2014.0,1.0
1/10/2014 20:00,yuma,az,us,unknown,120,2 minutes,Glowing streak of blue cloud passes quickly over the area in Yuma&#44 AZ.,1/16/2014,32.7253,-114.6236,2014.0,1.0
1/10/2014 20:26,terrace (canada),bc,ca,unknown,20,20 seconds,In the west southwest skies over Terrace BC... very far away (so not certain of shape or size) a red and yellow light hovering at first,1/16/2014,54.5,-128.5833,2014.0,1.0
1/10/2014 20:30,meredith,nh,us,fireball,300,3-5 minutes,Orange glowing orb slowly moving upward then disappeared.,1/16/2014,43.6575,-71.5008,2014.0,1.0
1/10/2014 20:40,mercey hot springs/firebaugh,ca,,light,60,1 minute,Another bright white flash above Mercey Hot Springs&#33,1/16/2014,36.8588,-120.456,2014.0,1.0
1/10/2014 20:50,newport beach,ca,us,fireball,600,10 minutes,Hovering Red Orbs over the Newport Beach&#44 CA peninsula.,1/16/2014,33.6189,-117.9281,2014.0,1.0
1/10/2014 21:15,lowell,mi,us,flash,1,1 second,Around 9:15pm last night&#44 in the sky NW of Lowell we witnessed two large flashes of red light that lit up a large&#44 lower portion of the,1/16/2014,42.9336,-85.3419,2014.0,1.0
1/10/2014 22:58,kaneohe,hi,us,fireball,90,90 seconds,A silent red ball of light traveled off the pacific ocean from the east to the south below the clouds for about 90 seconds.,1/16/2014,21.4181,-157.8036,2014.0,1.0
1/10/2014 23:50,napa,ca,us,circle,240,4 minutes,Bright orange circular object seen flying SE to NW for minutes before suddenly disappearing.,1/16/2014,38.2972,-122.2844,2014.0,1.0
1/11/2014 0:00,mountlake terrace,wa,us,light,120,2 minutes,20 red/orange lights rising up in the sky for short time then disappeared.,1/16/2014,47.7883,-122.3075,2014.0,1.0
1/11/2014 1:45,ottawa (canada),on,ca,,7,7 seconds,Streaking yellowish greenish light from south 4 seconds with giant bright blue flash&#44 no sound.,1/24/2014,45.4167,-75.7,2014.0,1.0
1/11/2014 3:00,bayville,nj,us,unknown,30,30 seconds,Strange loud booming noises unknown origin.,1/16/2014,39.9092,-74.1553,2014.0,1.0
1/11/2014 4:00,oviedo (town in orlando),fl,us,light,1800,30 minutes,I was walking down the street to my neighborhood at 4 AM&#44 and hovering what appeared to be maybe 150 feet from the ground (MUCH closer,1/16/2014,28.6697,-81.2083,2014.0,1.0
1/11/2014 15:30,new westminster (canada),bc,ca,circle,600,10 minutes,A flying cluster of white light orbs.,1/16/2014,49.2167,-122.9167,2014.0,1.0
1/11/2014 16:00,mahi mahiu (kenya),,,cone,720,12 minutes,Two dark objects following each other caught on photos and a clip.,1/16/2014,32.9684,-80.0512,2014.0,1.0
1/11/2014 16:00,roseville,mn,us,fireball,10,10 seconds,Green fireball fast moving.  Shooting down towards the ground.,1/16/2014,45.0061,-93.1564,2014.0,1.0
1/11/2014 16:50,la junta,co,us,oval,120,2 minutes,Took picture of sunset&#44 and noticed a green/red oval object in the clouds.,1/16/2014,37.985,-103.5433,2014.0,1.0
1/11/2014 17:15,princeton,mn,us,triangle,10,10 seconds,Very large bright object flying horizontally across the sky.,1/16/2014,45.57,-93.5814,2014.0,1.0
1/11/2014 18:00,tucson,az,us,cigar,240,4:00,Silver or white cigar shaped aircraft with no wings.,1/16/2014,32.2217,-110.9258,2014.0,1.0
1/11/2014 19:00,palmdale,ca,us,fireball,300,5 minutes,Fireball falling at slow speed then flew upwards at high rate of speed without turning around made no noise as it sped upwards.,1/16/2014,34.5794,-118.1156,2014.0,1.0
1/11/2014 19:11,ihtiman (bulgaria),,,fireball,120,2 minutes,A strange red light.,1/16/2014,42.4382,23.8162,2014.0,1.0
1/11/2014 19:20,boca raton,fl,us,light,300,5 minutes,Four traveling orange lights in formation slowly dimmed to nothing.,1/16/2014,26.3583,-80.0833,2014.0,1.0
