year,death_rate,drug_deaths,state_codes,state_names,state_census_area,state_abb,state_sightings,duration,changing,chevron,cigar,circle,cone,cross,cylinder,diamond,disk,egg,fireball,flash,formation,light,other,oval,rectangle,sphere,teardrop,triangle,unknown,id,state,abbr,poverty,povertyMoe,age,ageMoe,income,incomeMoe,healthcare,healthcareLow,healthcareHigh,obesity,obesityLow,obesityHigh,smokes,smokesLow,smokesHigh,-0.385218228,GEO_ID,NAME,population,B01003_001M
2014.0,15.2,723,01,Alabama,50645.326,al,691.0,1393.4088277858177,13.0,9.0,16.0,64.0,1.0,3.0,12.0,15.0,44.0,12.0,47.0,15.0,14.0,139.0,44.0,34.0,10.0,50.0,6.0,83.0,46.0,1.0,Alabama,AL,19.3,0.5,38.6,0.2,42830.0,598.0,13.9,12.7,15.1,33.5,32.1,35.0,21.1,19.8,22.5,,0400000US01,Alabama,4849377,*****
2014.0,16.8,124,02,Alaska,570640.95,ak,354.0,4231.830508474576,5.0,,6.0,30.0,1.0,,6.0,5.0,29.0,1.0,18.0,12.0,6.0,98.0,22.0,20.0,4.0,29.0,1.0,27.0,21.0,2.0,Alaska,AK,11.2,0.9,33.3,0.3,71583.0,1784.0,15.0,13.3,16.6,29.7,27.8,31.6,19.9,18.2,21.6,,0400000US02,Alaska,736732,*****
2014.0,12.6,356,04,Arizona,113594.084,az,2689.0,5949.009337797619,77.0,32.0,54.0,239.0,14.0,7.0,42.0,31.0,135.0,25.0,182.0,43.0,125.0,613.0,220.0,116.0,39.0,177.0,25.0,254.0,176.0,4.0,Arizona,AZ,18.2,0.4,36.9,0.1,50068.0,483.0,14.4,13.3,15.6,28.9,27.7,30.2,16.5,15.4,17.6,,0400000US04,Arizona,6731484,*****
2014.0,18.2,"1,211",05,Arkansas,52035.477,ar,666.0,100867.13888888889,19.0,11.0,24.0,70.0,1.0,2.0,17.0,9.0,41.0,4.0,28.0,14.0,13.0,149.0,37.0,22.0,9.0,30.0,8.0,92.0,55.0,5.0,Arkansas,AR,18.9,0.5,37.8,0.2,41262.0,653.0,16.3,14.4,18.2,35.9,33.8,38.0,24.7,22.7,26.7,,0400000US05,Arkansas,2966369,*****
2014.0,11.1,"4,521",06,California,155779.22,ca,9655.0,3928.7810720944685,290.0,158.0,216.0,899.0,31.0,32.0,134.0,155.0,693.0,95.0,744.0,154.0,318.0,1983.0,677.0,420.0,159.0,674.0,79.0,891.0,603.0,6.0,California,CA,16.4,0.2,36.0,0.1,61933.0,238.0,14.8,13.8,15.8,24.7,23.5,25.9,12.9,11.9,13.8,,0400000US06,California,38802500,*****
2014.0,16.3,899,08,Colorado,103641.888,co,1505.0,3024.3947508305646,38.0,32.0,35.0,123.0,3.0,3.0,31.0,15.0,99.0,12.0,99.0,37.0,45.0,308.0,115.0,72.0,26.0,110.0,12.0,172.0,89.0,8.0,Colorado,CO,12.0,0.4,36.3,0.1,61303.0,487.0,12.8,11.9,13.6,21.3,20.4,22.2,15.7,14.8,16.6,,0400000US08,Colorado,5355866,*****
2014.0,17.6,623,09,Connecticut,4842.355,ct,968.0,13089.21492768595,14.0,13.0,34.0,101.0,5.0,5.0,20.0,16.0,61.0,8.0,97.0,14.0,18.0,172.0,66.0,49.0,23.0,50.0,14.0,86.0,73.0,9.0,Connecticut,CT,10.8,0.5,40.5,0.2,70048.0,828.0,8.7,7.6,9.7,26.3,24.8,27.7,15.4,14.2,16.7,,0400000US09,Connecticut,3596677,*****
2014.0,20.9,189,10,Delaware,1948.543,de,183.0,868.9043715846994,4.0,2.0,,24.0,,,1.0,3.0,13.0,3.0,10.0,3.0,6.0,33.0,11.0,3.0,2.0,18.0,2.0,30.0,14.0,10.0,Delaware,DE,12.5,0.9,39.6,0.3,59716.0,1674.0,8.7,7.4,9.9,30.7,28.6,32.7,19.9,17.9,21.8,,0400000US10,Delaware,935614,*****
2014.0,13.2,"2,634",12,Florida,53624.759,fl,4200.0,13504.459261904762,113.0,51.0,89.0,387.0,13.0,13.0,72.0,56.0,242.0,37.0,452.0,66.0,126.0,821.0,280.0,214.0,69.0,292.0,38.0,385.0,293.0,12.0,Florida,FL,16.5,0.3,41.6,0.1,47463.0,329.0,17.6,16.4,18.8,26.2,25.0,27.5,17.7,16.5,18.8,,0400000US12,Florida,19893297,*****
2014.0,11.9,"1,206",13,Georgia,57513.485,ga,1347.0,7968.701633259094,33.0,10.0,40.0,148.0,5.0,5.0,17.0,20.0,90.0,16.0,104.0,22.0,26.0,263.0,110.0,60.0,25.0,89.0,14.0,134.0,94.0,13.0,Georgia,GA,18.3,0.4,36.1,0.1,49321.0,543.0,20.9,19.3,22.5,30.5,28.9,32.1,17.4,15.9,18.8,,0400000US13,Georgia,10097343,*****
