State Codes,County Codes,County Names,County Census Area
01,029,Cleburne,560.1
01,031,Coffee,678.972
01,037,Coosa,650.926
01,039,Covington,1030.456
01,041,Crenshaw,608.84
01,045,Dale,561.15
01,049,DeKalb,777.093
01,053,Escambia,945.08
01,057,Fayette,627.66
01,061,Geneva,574.408
01,067,Henry,561.75
01,075,Lamar,604.846
01,077,Lauderdale,667.697
01,079,Lawrence,690.678
01,001,Autauga,594.436
01,003,Baldwin,1589.784
01,005,Barbour,884.876
01,007,Bibb,622.582
01,009,Blount,644.776
01,011,Bullock,622.805
01,023,Choctaw,913.5
01,025,Clarke,1238.465
01,027,Clay,603.961
01,033,Colbert,592.619
01,035,Conecuh,850.156
01,043,Cullman,734.841
01,047,Dallas,978.695
01,051,Elmore,618.485
01,055,Etowah,534.991
01,059,Franklin,633.821
01,063,Greene,647.11
01,065,Hale,643.943
01,071,Jackson,1077.868
01,073,Jefferson,1111.276
01,085,Lowndes,715.911
01,087,Macon,608.885
01,089,Madison,801.593
01,091,Marengo,976.882
01,095,Marshall,565.842
01,097,Mobile,1229.435
01,099,Monroe,1025.675
01,107,Pickens,881.408
01,109,Pike,672.094
01,113,Russell,641.14
01,115,St. Clair,631.902
01,117,Shelby,784.93
01,119,Sumter,903.887
01,121,Talladega,736.775
01,129,Washington,1080.207
01,131,Wilcox,888.498
01,013,Butler,776.829
01,015,Calhoun,605.868
01,017,Chambers,596.531
01,019,Cherokee,553.7
01,021,Chilton,692.854
01,123,Tallapoosa,716.521
01,125,Tuscaloosa,1321.755
01,127,Walker,791.192
01,133,Winston,612.979
01,101,Montgomery,784.247
01,069,Houston,579.824
01,081,Lee,607.536
01,083,Limestone,559.936
01,093,Marion,742.292
01,103,Morgan,579.337
01,105,Perry,719.664
01,111,Randolph,580.55
02,013,Aleutians East,6981.943
02,016,Aleutians West,4390.276
02,020,Anchorage,1704.683
02,050,Bethel,40570.004
02,060,Bristol Bay,503.843
02,068,Denali,12751.411
02,070,Dillingham,18568.778
02,090,Fairbanks North Star,7338.209
02,105,Hoonah-Angoon,7524.915
02,110,Juneau,2701.931
02,122,Kenai Peninsula,16075.331
02,130,Ketchikan Gateway,4858.414
02,164,Lake and Peninsula,23652.009
02,170,Matanuska-Susitna,24607.898
02,180,Nome,22961.761
02,185,North Slope,88695.413
02,188,Northwest Arctic,35572.584
02,220,Sitka,2870.339
02,240,Southeast Fairbanks,24768.808
02,270,Wade Hampton,17081.433
02,275,Wrangell,2541.483
02,290,Yukon-Koyukuk,145504.789
02,195,Petersburg,3281.982
02,198,Prince of Wales-Hyder,3922.873
02,230,Skagway,452.325
02,261,Valdez-Cordova,34239.88
02,282,Yakutat,7649.457
02,100,Haines,2318.6
02,150,Kodiak Island,6549.579
04,001,Apache,11197.521
04,003,Cochise,6165.69
04,005,Coconino,18618.885
04,007,Gila,4757.933
04,009,Graham,4622.597
04,011,Greenlee,1843.126
04,012,La Paz,4499.629
04,013,Maricopa,9200.143
04,015,Mohave,13311.084
04,017,Navajo,9950.422
04,019,Pima,9187.036
04,021,Pinal,5365.612
04,023,Santa Cruz,1236.916
04,025,Yavapai,8123.499
04,027,Yuma,5513.992
05,049,Fulton,618.194
