,State,Year,Month,Period,Indicator,Data Value,Percent Complete,Percent Pending Investigation,State Name,Footnote,Footnote Symbol,Predicted Value
0,AK,2019,January,12 month-ending,Number of Drug Overdose Deaths,107,100,0.0,Alaska,Underreported due to incomplete data.,*,107
1,AL,2019,January,12 month-ending,Number of Drug Overdose Deaths,724,100,0.169414094,Alabama,Underreported due to incomplete data.,*,732
2,AR,2019,January,12 month-ending,Number of Drug Overdose Deaths,439,100,0.066759919,Arkansas,Underreported due to incomplete data.,*,439
3,AZ,2019,January,12 month-ending,Number of Drug Overdose Deaths,1725,100,0.122604592,Arizona,Underreported due to incomplete data.,*,"1,734"
4,CA,2019,January,12 month-ending,Number of Drug Overdose Deaths,5515,100,0.24349339899999997,California,Underreported due to incomplete data.,*,"5,623"
5,CO,2019,January,12 month-ending,Number of Drug Overdose Deaths,992,100,0.033324789,Colorado,Underreported due to incomplete data.,*,992
6,CT,2019,January,12 month-ending,Number of Drug Overdose Deaths,1087,100,0.05761659400000001,Connecticut,Underreported due to incomplete data.,*,"1,087"
7,DC,2019,January,12 month-ending,Number of Drug Overdose Deaths,300,100,0.032889327,District of Columbia,Underreported due to incomplete data.,*,300
8,DE,2019,January,12 month-ending,Number of Drug Overdose Deaths,403,100,0.0,Delaware,Underreported due to incomplete data.,*,403
9,FL,2019,January,12 month-ending,Number of Drug Overdose Deaths,4921,100,0.049001533,Florida,Underreported due to incomplete data.,*,"4,921"
10,GA,2019,January,12 month-ending,Number of Drug Overdose Deaths,1384,100,0.090880121,Georgia,Underreported due to incomplete data.,*,"1,386"
11,HI,2019,January,12 month-ending,Number of Drug Overdose Deaths,223,100,0.121485595,Hawaii,Underreported due to incomplete data.,*,225
12,IA,2019,January,12 month-ending,Number of Drug Overdose Deaths,278,100,0.00999001,Iowa,Underreported due to incomplete data.,*,278
13,ID,2019,January,12 month-ending,Number of Drug Overdose Deaths,249,100,0.021349273999999998,Idaho,Underreported due to incomplete data.,*,249
14,IL,2019,January,12 month-ending,Number of Drug Overdose Deaths,2687,100,0.07881867,Illinois,Underreported due to incomplete data.,*,"2,687"
15,IN,2019,January,12 month-ending,Number of Drug Overdose Deaths,1591,100,0.007657201999999999,Indiana,Underreported due to incomplete data.,*,"1,591"
16,KS,2019,January,12 month-ending,Number of Drug Overdose Deaths,348,100,0.011415525,Kansas,Underreported due to incomplete data.,*,348
17,KY,2019,January,12 month-ending,Number of Drug Overdose Deaths,1339,100,0.016729402,Kentucky,Underreported due to incomplete data.,*,"1,339"
18,LA,2019,January,12 month-ending,Number of Drug Overdose Deaths,1162,100,0.00219901,Louisiana,Underreported due to incomplete data.,*,"1,162"
19,MA,2019,January,12 month-ending,Number of Drug Overdose Deaths,2212,100,0.16066138900000002,Massachusetts,Underreported due to incomplete data.,*,"2,233"
20,MD,2019,January,12 month-ending,Number of Drug Overdose Deaths,2392,100,0.038063947,Maryland,Underreported due to incomplete data.,*,"2,392"
21,ME,2019,January,12 month-ending,Number of Drug Overdose Deaths,324,100,0.0,Maine,Underreported due to incomplete data.,*,324
22,MI,2019,January,12 month-ending,Number of Drug Overdose Deaths,2513,100,0.10860683300000001,Michigan,Underreported due to incomplete data.,*,"2,521"
23,MN,2019,January,12 month-ending,Number of Drug Overdose Deaths,665,100,0.0,Minnesota,Underreported due to incomplete data.,*,665
24,MO,2019,January,12 month-ending,Number of Drug Overdose Deaths,1664,100,0.017080745,Missouri,Underreported due to incomplete data.,*,"1,664"
25,MS,2019,January,12 month-ending,Number of Drug Overdose Deaths,288,100,0.706532211,Mississippi,Underreported due to incomplete data.,*,312
