State,State Sightings,Duration
ab,333,1773.3513513513512
ak,354,4231.830508474576
al,691,1393.4088277858177
ar,666,100867.13888888889
az,2689,5949.009337797619
bc,788,1103.2256598984773
ca,9655,3928.7810720944685
co,1505,3024.3947508305646
ct,968,13089.21492768595
dc,99,1161.2245454545455
de,183,868.9043715846994
fl,4200,13504.459261904762
ga,1347,7968.701633259094
hi,353,19267.543909348442
ia,707,949.6265912305516
id,554,968.5564981949459
il,2645,877.3622192816637
in,1386,3094.7977633477635
ks,653,1514.7143950995405
ky,914,4205.386761487965
la,598,11481.57525083612
ma,1358,1312.1877761413843
mb,155,3959.309677419355
md,911,833.7807903402854
me,633,3066.4311216429696
mi,2071,3885.088652824722
mn,1081,1411.120564292322
mo,1576,1144.3881979695432
ms,415,8784.190361445782
mt,510,2148.7235294117645
nb,116,630.9741379310345
nc,1869,1281.8316479400748
nd,138,1105.4057971014493
ne,405,1063.5654320987655
nf,25,839.88
nh,535,2141.6028037383176
nj,1512,5299.992341269841
nm,815,5185.816674846626
ns,143,1279.048951048951
nt,20,1638.1
nv,905,2926.0165193370167
ny,3219,2914.7115719167446
oh,2425,1576.1877731958766
ok,766,14929.384203655354
on,1584,53441.31767676768
or,1845,1064.2104498644987
pa,2582,3990.1130906274207
pe,17,605.1176470588235
pq,90,613.4944444444444
pr,33,881.5151515151515
qc,178,919.6601123595506
ri,290,1811.8810344827587
sa,30,1285.2666666666667
sc,1076,1102.4988847583643
sd,196,2608.640306122449
sk,98,1310.357142857143
tn,1193,1610.4615255658007
tx,3677,2371.3432825673103
ut,743,4739.033647375505
va,1393,9862.555276381909
vt,307,1077.5879478827362
wa,4268,13545.595627928773
wi,1333,2047.9649662415602
wv,486,6239.35596707819
wy,205,1841.6292731707317
yk,7,1459.7142857142858
yt,13,1228.7692307692307
